                            Unterstützt        Beschrieben  Korrigiert
!hyphen                     J                  N            X
!i                          A                  N            X
!=info                      ifdest             *            X
!if                         J                  J            X
!ifdest                     J                  J            X
!iflang                     J                  J            X
!ifndest                    J                  J            X
!ifnlang                    J                  J            X
!ifnos                      J                  J            X
!ifnset                     J                  J            X
!ifos                       J                  J            X
!ifset                      J                  J            X
!ignore_bottomline          J                  J            X
!ignore_headline            J                  J            X
!ignore_index               J                  J            X
!ignore_links               J                  J            X
!ignore_raw_footer          J                  N            X
!ignore_raw_header          J                  N            X
!ignore_subsubsubtoc        J                  J            X
!ignore_subsubtoc           J                  J            X
!ignore_subtoc              J                  J            X
!ignore_title               J                  N            X
!image                      J                  J            X
!image*                     J                  J            X
!image_alignment            J                  N            X
!image_counter              J                  J            X
!include                    J                  J            X
!index                      J                  J            X
!info                       ifdest             *            X
!input                      J                  N            X
!item                       J                  J            X
!item []                    J                  J            X
!jumpid                     J                  N            X
!l                          A                  N            X
!=ldoc                      ifdest             *            X
!label                      J                  J            X
!language                   J                  J            X
!ldinclude                  J                  N            X
!ldoc                       ifdest             *            X
!lh                         A                  N            X
!linedrawsize               J                  N            X
!listheading                J                  N
!listoffigures              J                  J            X
!listoftables               J                  J            X
!list_parsep                N                  N            X
!listsubheading             J                  N
!listsubsubheading          J                  N
!listsubsubsubheading       J                  N
!lsh                        A                  N            X
!lssh                       A                  N            X
!lsssh                      A                  N            X
!macro                      J                  J            X
!=man                       ifdest             *            X
!maketitle                  J                  J            X
!man                        ifdest             *            X
!man_lpp                    J                  J            X
!man_type                   J                  J            X
!mapping                    J                  N            X
!medskip                    J                  J            X
!newpage                    J                  J            X
!n                          A                  N            X
!n*                         A                  N            X
!no_8bit                    J                  N            X
!no_bottomlines             J                  J            X
!no_buttons                 J                  N            X
!no_effects                 J                  J            X
!no_footers                 J                  N            X
!no_headlines               J                  J            X
!no_icons                   J                  N            X
!no_images                  J                  J            X
!no_img_size                J                  N            X
!no_index                   J                  J            X
!no_links                   J                  N            X
!no_numbers                 J                  J            X
!no_popup_headlines         J                  N            X
!no_preamble                J                  J            X
!no_quotes                  J                  J            X
!no_sourcecode              J                  N
!no_table_lines             N                  N            X
!no_titles                  N                  N
!no_toc_subnodes            N                  N            X
!no_toc_subsubnodes         N                  N            X
!no_toc_subsubsubnodes      N                  N            X
!no_umlaute                 J                  J            X
!no_urls                    J                  N            X
!no_verbatim_umlaute        J                  J            X
!no_xlinks                  J                  J            X
!node                       J                  J            X
!node*                      J                  J            X
!nop                        J                  J            X
!nroff_type                 J                  N            X
!parwidth                   J                  J            X
!p                          A                  N            X
!p*                         A                  N            X
!=pch                       ifdest             *            X
!pch                        ifdest             *            X
!=pdf                       J                  N            X
!pdf                        J                  N            X
!pdf_high_compression       J                  N            X
!pdf_medium_compression     J                  N            X
!pinclude                   J                  N            X
!pnode                      J                  J            X
!pnode*                     J                  J            X
!program                    docinfo            *            X
!programimage               docinfo            *            X
!ps                         A                  N            X
!ps*                        A                  N            X
!pss                        A                  N            X
!pss*                       A                  N            X
!psss                       A                  N            X
!psss*                      A                  N            X
!psubnode                   J                  J            X
!psubnode*                  J                  J            X
!psubsubnode                J                  J            X
!psubsubnode*               J                  J            X
!psubsubsubnode             J                  J            X
!psubsubsubnode*            J                  J            X
!raw                        J                  N            X
!rinclude                   J                  J            X
!=rtf                       ifdest             *            X
!rtf                        ifdest             *            X
!rtf_charwidth              J                  J            X
!rtf_keep_tables            J                  N            X
!rtf_monofont               J                  J            X
!rtf_no_tables              J                  J            X
!rtf_propfont               J                  J            X
!set                        J                  J            X
!sh                         A                  N            X
!short                      J                  *            X
!sinclude                   J                  N            X
!sloppy                     J                  J            X
!smallskip                  J                  J            X
!sn                         A                  N            X
!sn*                        A                  N            X
!sort_hyphen_file           J                  J            X
!ssh                        A                  N            X
!ssn                        A                  N            X
!ssn*                       A                  N            X
!sssh                       A                  N            X
!sssn                       A                  N            X
!sssn*                      A                  N            X
!=stg                       ifdest             *            X
!stg                        ifdest             *            X
!stg_no_database            docinfo            *            X
!stg_short_title            N                  N
!street                     docinfo            *            X
!subheading                 J                  J            X
!subnode                    J                  J            X
!subnode*                   J                  J            X
!subsubheading              J                  J            X
!subsubnode                 J                  J            X
!subsubnode*                J                  J            X
!subsubsubheading           J                  J            X
!subsubsubnode              J                  J            X
